Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Upgrade,upgrade,...,,https://www.hackerearth.com/problem/algorithm/upgrade/,Hackerearth,"                    Data Structures, Binary Search Tree, Heavy light decomposition, Hard",,
Communication Network,communication-network,...,,https://www.hackerearth.com/problem/algorithm/communication-network/,Hackerearth,"                    Dynamic Programming, Divide And Conquer, Hard",,
Something Genuine,something-genuine,...,,https://www.hackerearth.com/problem/algorithm/something-genuine/,Hackerearth,"                    Data Structures, Segment Trees, Hard",,
Sabotage,sabotage-1,...,,https://www.hackerearth.com/problem/algorithm/sabotage-1/,Hackerearth,"                    Disjoint Set, Greedy, Medium, Data Structures",,
The Blessing,the-blessing-1,...,,https://www.hackerearth.com/problem/algorithm/the-blessing-1/,Hackerearth,"                    Math, Easy",,
Will you be my friend?,will-you-be-my-friend-pledge-easy,...,,https://www.hackerearth.com/problem/algorithm/will-you-be-my-friend-pledge-easy/,Hackerearth,                    Easy,,
Intelligent Girl ,intelligent-girl-1,...,,https://www.hackerearth.com/problem/algorithm/intelligent-girl-1/,Hackerearth,                    Easy,,
Trick with the cards,trick-with-the-cards,...,,https://www.hackerearth.com/problem/algorithm/trick-with-the-cards/,Hackerearth,"                    Math, Ad-Hoc, Simulation, Easy-Medium",,
City and Campers 2,city-and-campers-2,...,,https://www.hackerearth.com/problem/algorithm/city-and-campers-2/,Hackerearth,"                    Disjoint Set, Implementation, Medium-Hard",,
City and Soldiers,city-and-soldiers,...,,https://www.hackerearth.com/problem/algorithm/city-and-soldiers/,Hackerearth,"                    Disjoint Set, Medium",,
City and Campers,city-and-campers,...,,https://www.hackerearth.com/problem/algorithm/city-and-campers/,Hackerearth,"                    Disjoint Set, Easy-Medium",,
City and Fireman Vincent,city-and-fireman-vincent,...,,https://www.hackerearth.com/problem/algorithm/city-and-fireman-vincent/,Hackerearth,"                    Disjoint Set, Easy-Medium",,
City and Flood,city-and-flood-1,...,,https://www.hackerearth.com/problem/algorithm/city-and-flood-1/,Hackerearth,"                    Disjoint Set, Easy",,
The Competitive Class,the-competitive-class-3,...,,https://www.hackerearth.com/problem/algorithm/the-competitive-class-3/,Hackerearth,                    Easy,,
Akash and too many assign...,akash-and-too-many-assignments,...,,https://www.hackerearth.com/problem/algorithm/akash-and-too-many-assignments/,Hackerearth,"                    Medium, Algorithms, Fenwick Tree",,
Marut and Strings,marut-and-strings-4,...,,https://www.hackerearth.com/problem/algorithm/marut-and-strings-4/,Hackerearth,"                    Easy, Ad-Hoc, Basic Programming",,
Monk and Match Making,monk-and-match-making,...,,https://www.hackerearth.com/problem/algorithm/monk-and-match-making/,Hackerearth,"                    Medium, Hashing",,
Monk and Tasks,monk-and-tasks,...,,https://www.hackerearth.com/problem/algorithm/monk-and-tasks/,Hackerearth,"                    Easy-Medium, Hashing",,
Monk in the land of Pokem...,monk-in-the-land-of-pokemons,...,,https://www.hackerearth.com/problem/algorithm/monk-in-the-land-of-pokemons/,Hackerearth,"                    Easy, Hashing",,
Monk and the Collision,monk-and-the-collision,...,,https://www.hackerearth.com/problem/algorithm/monk-and-the-collision/,Hackerearth,"                    Hashing, Easy",,
Monk at the Graph Factory,monk-at-the-graph-factory,...,,https://www.hackerearth.com/problem/algorithm/monk-at-the-graph-factory/,Hackerearth,"                    Trees, Graph Theory, Easy",,
Monk's birthday treat,monks-birthday-treat,...,,https://www.hackerearth.com/problem/algorithm/monks-birthday-treat/,Hackerearth,"                    Graph Theory, Easy-Medium, DFS",,
Monk in the real estate,monk-in-the-real-estate,...,,https://www.hackerearth.com/problem/algorithm/monk-in-the-real-estate/,Hackerearth,"                    Easy, Ad-Hoc",,
Kingdom Of Monkeys,kingdom-of-monkeys,...,,https://www.hackerearth.com/problem/algorithm/kingdom-of-monkeys/,Hackerearth,"                    Easy-Medium, DFS, Graph Theory",,
The final fight [6],the-final-fight-6,...,,https://www.hackerearth.com/problem/algorithm/the-final-fight-6/,Hackerearth,"                    Medium, Math, Modular arithmetic",,
The Falling Eagle [5],the-falling-eagle-5,...,,https://www.hackerearth.com/problem/algorithm/the-falling-eagle-5/,Hackerearth,"                    Greedy, Hard",,
The art of security [4],the-art-of-security-4,...,,https://www.hackerearth.com/problem/algorithm/the-art-of-security-4/,Hackerearth,"                    Greedy, Combinatorics, Medium",,
The savior? [3],the-savior-3,...,,https://www.hackerearth.com/problem/algorithm/the-savior-3/,Hackerearth,"                    Easy, Ad-Hoc, Math",,
Supernatural Squad [2],supernatural-squad-2,...,,https://www.hackerearth.com/problem/algorithm/supernatural-squad-2/,Hackerearth,"                    Easy-Medium, Dynamic Programming, Recursion",,
The rise of the weird... ...,the-rise-of-the-weird-things-1,...,,https://www.hackerearth.com/problem/algorithm/the-rise-of-the-weird-things-1/,Hackerearth,"                    Easy, Ad-Hoc, Sorting",,
Marut and Girls,marut-and-girls,...,,https://www.hackerearth.com/problem/algorithm/marut-and-girls/,Hackerearth,"                    Easy, Hashing, Implementation, Data Structures",,
Valentine Shopping,valentine-shopping-4,...,,https://www.hackerearth.com/problem/algorithm/valentine-shopping-4/,Hackerearth,"                    Easy, Ad-Hoc, Math",,
The art of verification,the-art-of-verification,...,,https://www.hackerearth.com/problem/algorithm/the-art-of-verification/,Hackerearth,"                    Ad-Hoc, Easy",,
Furniture Transportation,furniture-transportation-2,...,,https://www.hackerearth.com/problem/algorithm/furniture-transportation-2/,Hackerearth,                    ,,
Numerical Armageddon Round 1,numerical-armageddon-round-1-1,...,,https://www.hackerearth.com/problem/algorithm/numerical-armageddon-round-1-1/,Hackerearth,"                    Dynamic Programming, Modular arithmetic, Medium",,
Monk and the Magical Cand...,monk-and-the-magical-candy-bags,...,,https://www.hackerearth.com/problem/algorithm/monk-and-the-magical-candy-bags/,Hackerearth,"                    Easy-Medium, Priority Queue, Heap",,
